ordinal,column,comparison_category,present,source
39,baseline_block_centroid_inundated,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
40,baseline_block_centroid_isolated,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
41,baseline_block_centroid_redundant,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
42,baseline_block_centroid_fragile,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
43,baseline_n_reachable_services,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
44,baseline_n_reachable_service_nodes,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
45,baseline_max_edge_disjoint_paths_any_service,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
46,baseline_baseline_shortest_path_distance_m,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
47,baseline_dry_shortest_path_distance_m,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
48,baseline_detour_ratio,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
49,baseline_block_centroid_unclassified,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
50,baseline_status,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
51,scenario_status,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
52,persistent_fragile,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
53,new_fragile_due_to_slr,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
54,new_isolated_due_to_slr,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
55,new_inundated_due_to_slr,unexpected_appended_17,true,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.csv:1
